::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient
0.016339869,0.3912041,0.016339869,0.3912041,0.016339869,0.3912041,0.016339869,0.3912041,0.016339869,0.3912041,0.016339869,0.3912041
0.0166122,0.320247128,0.0166122,0.320247128,0.0166122,0.320247128,0.0166122,0.320247128,0.0166122,0.320247128,0.0166122,0.320247128
0.016884532,0.3912041,0.016884532,0.3912041,0.016884532,0.3912041,0.016884532,0.3912041,0.016884532,0.3912041,0.016884532,0.3912041
0.017156863,0.320247128,0.017156863,0.320247128,0.017156863,0.320247128,0.017156863,0.320247128,0.017156863,0.320247128,0.017156863,0.320247128
0.017429194,0.573067687,0.017429194,0.573067687,0.017429194,0.573067687,0.017429194,0.573067687,0.017429194,0.573067687,0.017429194,0.573067687
0.017701525,0.37017221,0.017701525,0.37017221,0.017701525,0.37017221,0.017701525,0.37017221,0.017701525,0.37017221,0.017701525,0.37017221
0.017973856,0.37017221,0.017973856,0.37017221,0.017973856,0.37017221,0.017973856,0.37017221,0.017973856,0.37017221,0.017973856,0.37017221
0.018246187,0.37017221,0.018246187,0.37017221,0.018246187,0.37017221,0.018246187,0.37017221,0.018246187,0.37017221,0.018246187,0.37017221
0.018518519,0.50348593,0.018518519,0.50348593,0.018518519,0.50348593,0.018518519,0.50348593,0.018518519,0.50348593,0.018518519,0.50348593
0.01879085,0.470733927,0.01879085,0.470733927,0.01879085,0.470733927,0.01879085,0.470733927,0.01879085,0.470733927,0.01879085,0.470733927
0.019063181,0.374455217,0.019063181,0.374455217,0.019063181,0.374455217,0.019063181,0.374455217,0.019063181,0.374455217,0.019063181,0.374455217
0.019335512,0.249208054,0.019335512,0.249208054,0.019335512,0.249208054,0.019335512,0.249208054,0.019335512,0.249208054,0.019335512,0.249208054
0.019607843,0.437181426,0.019607843,0.437181426,0.019607843,0.437181426,0.019607843,0.437181426,0.019607843,0.437181426,0.019607843,0.437181426
0.019880174,0.374455217,0.019880174,0.374455217,0.019880174,0.374455217,0.019880174,0.374455217,0.019880174,0.374455217,0.019880174,0.374455217
0.020152505,0.303498245,0.020152505,0.303498245,0.020152505,0.303498245,0.020152505,0.303498245,0.020152505,0.303498245,0.020152505,0.303498245
0.020424837,0.437181426,0.020424837,0.437181426,0.020424837,0.437181426,0.020424837,0.437181426,0.020424837,0.437181426,0.020424837,0.437181426
0.020697168,0.316860405,0.020697168,0.316860405,0.020697168,0.316860405,0.020697168,0.316860405,0.020697168,0.316860405,0.020697168,0.316860405
0.020969499,0.369535916,0.020969499,0.369535916,0.020969499,0.369535916,0.020969499,0.369535916,0.020969499,0.369535916,0.020969499,0.369535916
0.02124183,0.249208054,0.02124183,0.249208054,0.02124183,0.249208054,0.02124183,0.249208054,0.02124183,0.249208054,0.02124183,0.249208054
0.021514161,0.374455217,0.021514161,0.374455217,0.021514161,0.374455217,0.021514161,0.374455217,0.021514161,0.374455217,0.021514161,0.374455217
0.021786492,0.303498245,0.021786492,0.303498245,0.021786492,0.303498245,0.021786492,0.303498245,0.021786492,0.303498245,0.021786492,0.303498245
0.022058824,0.628096799,0.022058824,0.628096799,0.022058824,0.628096799,0.022058824,0.628096799,0.022058824,0.628096799,0.022058824,0.628096799
0.022331155,0.303498245,0.022331155,0.303498245,0.022331155,0.303498245,0.022331155,0.303498245,0.022331155,0.303498245,0.022331155,0.303498245
0.022603486,0.437181426,0.022603486,0.437181426,0.022603486,0.437181426,0.022603486,0.437181426,0.022603486,0.437181426,0.022603486,0.437181426
0.022875817,0.316860405,0.022875817,0.316860405,0.022875817,0.316860405,0.022875817,0.316860405,0.022875817,0.316860405,0.022875817,0.316860405
0.023148148,0.303874548,0.023148148,0.303874548,0.023148148,0.303874548,0.023148148,0.303874548,0.023148148,0.303874548,0.023148148,0.303874548
0.023420479,0.303874548,0.023420479,0.303874548,0.023420479,0.303874548,0.023420479,0.303874548,0.023420479,0.303874548,0.023420479,0.303874548
0.02369281,0.437181426,0.02369281,0.437181426,0.02369281,0.437181426,0.02369281,0.437181426,0.02369281,0.437181426,0.02369281,0.437181426
0.023965142,0.369535916,0.023965142,0.369535916,0.023965142,0.369535916,0.023965142,0.369535916,0.023965142,0.369535916,0.023965142,0.369535916
0.024237473,0.249208054,0.024237473,0.249208054,0.024237473,0.249208054,0.024237473,0.249208054,0.024237473,0.249208054,0.024237473,0.249208054
0.024509804,0.638865893,0.024509804,0.638865893,0.024509804,0.638865893,0.024509804,0.638865893,0.024509804,0.638865893,0.024509804,0.638865893
0.024782135,0.512462455,0.024782135,0.512462455,0.024782135,0.512462455,0.024782135,0.512462455,0.024782135,0.512462455,0.024782135,0.512462455
0.025054466,0.441505484,0.025054466,0.441505484,0.025054466,0.441505484,0.025054466,0.441505484,0.025054466,0.441505484,0.025054466,0.441505484
